LON,LAT,NUM,STR,CITY,ZIP,PID
-96.88380034704292,38.88517822658154,3358,K-157 HWY,Junction City,66441,0311382800000005000
-96.81836906184665,38.88628253665039,00000,SKIDDY WEST RD,Junction City,66441,0311372500000003000
-96.91022780398724,38.89110500542093,2450,W LYON CREEK RD,Junction City,66441,0311393000000005010
-96.90401742389048,38.88834440307504,00000,W LYON CREEK RD,Junction City,66441,0311392900000003010
-96.89477600495596,38.88836578719783,00000,K-157 HWY,Junction City,66441,0311392900000004000
-96.85788869824319,38.888228348667354,4768,K-157 HWY,Junction City,66441,0311382700000003000
-96.82295881828875,38.88813917636689,00000,SKIDDY WEST RD,Junction City,66441,0311372500000002000
-96.81838786313637,38.88987582159021,00000,HARREL RD,Junction City,66441,0311372500000004000
-96.92078002077902,38.8711565773707,00000,K-157 HWY,Junction City,66441,0311393100000007000
-96.90169480861303,38.871050094890236,1027,K-157 HWY,Junction City,66441,0311393200000005000
-96.8938017973017,38.8712273404589,00000,K-157 HWY,Junction City,66441,0311393200000006000
-96.92457010998075,38.87218088227149,00000,W LYON CREEK RD,Junction City,66441,0311393100000006000
-96.91281195118327,38.87206017926397,00000,K-157 HWY,Junction City,66441,0311393100000008000
-96.92604913489208,38.87739255550906,00000,SCHULER RD,Junction City,66441,0311393100000003000
-96.9225285366823,38.87672935736918,1379,SCHULER RD,Junction City,66441,0311393100000004000
-96.91886946317149,38.873939366396925,00000,W LYON CREEK RD,Junction City,66441,0311393100000005000
-96.8924570494149,38.87374752398193,00000,K-157 HWY,Junction City,66441,0311393200000007000
-96.88782500388251,38.873728230886975,00000,K-157 HWY,Junction City,66441,0311383300000004010
-96.87855383409322,38.873708777648,00000,KICKAPOO SCHOOL R,Junction City,66441,0311383300000004000
-96.8229043327718,38.87355790452369,00000,HARREL RD,Junction City,66441,0311373600000005000
-96.81153216612807,38.873551024681014,00000,SKIDDY RD,White City,66872,0311493100000003000
-96.91092322398465,38.87722396359679,00000,K-157 HWY,Junction City,66441,0311393100000009000
-96.90801095904622,38.87972489449278,00000,W LYON CREEK RD,Junction City,66441,0311393200000003000
-96.90356413534562,38.87546843499382,1515,K-157 HWY,Junction City,66441,0311393200000004000
-96.88320379921893,38.879154619964375,00000,K-157 HWY,Junction City,66441,0311383300000003000
-96.9028377679375,38.883643821832365,1967,K-157 HWY,Junction City,66441,0311393200000001010
-96.90627715575064,38.882904011684765,00000,K-157 HWY,Junction City,66441,0311393200000002000
-96.88552920780782,38.880908600137346,00000,K-157 HWY,Junction City,66441,0311383300000002000
-96.84350458645301,38.940751374916246,00000,OTTER CREEK RD,Junction City,66441,0311311100000002000
-96.83997953978592,38.94012481999232,6041,OTTER CREEK RD,Junction City,66441,0311311100000002010
-96.91323553244172,38.88116096874498,00000,W LYON CREEK RD,Junction City,66441,0311393100000002000
-96.9155800958074,38.8831504369185,00000,W LYON CREEK RD,Junction City,66441,0311393100000001000
-96.87626738768404,38.88087155490898,00000,K-157 HWY,Junction City,66441,0311383300000001000
-96.86695289394524,38.877217238719126,1511,KICKAPOO SCHOOL R,Junction City,66441,0311383400000003000
-96.86119318829589,38.88353315864863,4617,K-157 HWY,Junction City,66441,0311383400000002010
-96.86003687057399,38.88082578361371,00000,K-157 HWY,Junction City,66441,0311383400000002000
-96.85782885382642,38.87721241154639,4919,K-157 HWY,Junction City,66441,0311383400000001000
-96.84824802847051,38.87716358685935,00000,S US 77,Junction City,66441,0311373500000002000
-96.8391011590163,38.877132505991185,00000,SKIDDY WEST RD,Junction City,66441,0311373500000001000
-96.82981995145201,38.87717313411759,6485,SKIDDY WEST RD,Junction City,66441,0311373600000004000
-96.82292387966325,38.88256556606043,6737,SKIDDY WEST RD,Junction City,66441,0311373600000003000
-96.82075616583091,38.883954932005494,6745,SKIDDY WEST RD,Junction City,66441,0311373600000002000
-96.82062707118723,38.880744277866,00000,SKIDDY WEST RD,Junction City,66441,0311373600000001000
-96.81156278789945,38.88074205135032,00000,SKIDDY WEST RD,White City,66872,0311493100000002000
-96.90619060711543,38.89230343738703,2331,W LYON CREEK RD,Junction City,66441,0311392900000003000
