LON,LAT,NUM,STR,CITY,ZIP,PID
-97.5600219652301,38.00140541345264,14400,SW 36TH ST,Halstead,67056,0400793200000005000
-97.56914562042078,38.00325824904297,3512,S GOLDEN PRAIRIE RD,Halstead,67056,0400793200000004010
-97.56678603587609,38.000332810707135,15000,SW 36TH ST,Halstead,67056,0400793200000004000
-97.5816986364294,38.000458886608094,16100,SW 36TH ST,Halstead,67056,0400793100000007000
-97.57844616422153,38.00327054854226,15800,SW 36TH ST,Halstead,67056,0400793100000008000
-97.58745940343822,38.00326936283504,16500,SW 36TH ST,Halstead,67056,0400793100000006000
-97.55073469403767,38.00138598583138,13800,SW 36TH ST,Halstead,67056,0400783300000004000
-97.53775226850104,38.001369274941226,3411,S OLD SETTLERS RD,Halstead,67056,0400783300000005000
-97.54227821715935,38.00320082495313,00000,SW 36TH ST,Halstead,67056,0400783300000006000
-97.65188788311318,37.97427785236384,5705,S PRAIRIE LAKE RD,Burrton,67020,0401520900000003000
-97.64027576477892,37.974253520595624,19800,SW 60TH ST,Burrton,67020,0401521000000004000
-97.64483623704109,37.974258733507604,5700,S PRAIRIE LAKE RD,Burrton,67020,0401521000000003000
-97.64483740035936,37.98145888779235,4900,S PRAIRIE LAKE RD,Burrton,67020,0401521000000002000
-97.63571256792649,37.98144822021739,19329,SW 48TH ST,Burrton,67020,0401521000000001000
-97.65177143046047,37.99594397192237,00000,SW 36TH ST,Burrton,67020,0401520400000001000
-97.66312058496158,37.99896545794701,21501,SW 36TH ST,Burrton,67020,0401520400000004000
-97.60581199277763,37.91785614926308,10300,S WILLOW LAKE RD,Burrton,67020,0401573600000004000
-97.59443559956044,37.92326271525974,9805,S RIVER PARK RD,Sedgwick,67135,0401573600000001000
-97.59897439996637,37.9214486234722,17205,SW 96TH ST,Burrton,67020,0401573600000002000
-97.60351222300528,37.91425948828156,17400,SW 125TH ST,Burrton,67020,0401573600000005000
-97.59444158548435,37.918759794383305,10211,S RIVER PARK RD,Sedgwick,67135,0401573600000006000
-97.59444343960712,37.91694230232338,10403,S RIVER PARK RD,Sedgwick,67135,0401573600000006010
-97.6058223826922,37.9232720284766,17705,SW 96TH ST,Burrton,67020,0401573600000003000
-97.6518173460496,37.9888096842087,4305,S PRAIRIE LAKE RD,Burrton,67020,0401520400000010000
-97.6334098921042,37.97424525444272,5715,S SAND HILL RD,Burrton,67020,0401521000000005000
-97.6701223969933,37.995974451190946,3905,S BURMAC RD,Burrton,67020,0401530500001001000
-97.6701502003005,37.99150727673331,4205,S BURMAC RD,Burrton,67020,0401530500001009000
-97.67015911113896,37.98970561346742,4305,S BURMAC RD,Burrton,67020,0401530500001008000
-97.67016802242657,37.987903949850356,4405,S BURMAC RD,Burrton,67020,0401530500001007000
-97.67017682007733,37.98614347804756,4705,S BURMAC RD,Burrton,67020,0401530500001006000
-97.67918595174737,37.98883798398117,4300,S WHEAT STATE RD,Burrton,67020,0401530500001005000
-97.53245728380608,37.995825255419035,12825,SW 36TH ST,Halstead,67056,0401420300000002000
-97.5324572074493,37.988673670010414,00000,S OLD SETTLERS RD,Halstead,67056,0401420300000003000
-97.52335385732813,37.98872749721788,4633,S HALSTEAD RD,Halstead,67056,0401420300000004000
-97.52342399868384,37.99847960901056,00000,SW 36TH ST,Halstead,67056,0401420300000001000
-97.523415662318,37.99494827684433,00000,S HALSTEAD RD,Halstead,67056,0401420300000005000
-97.67918315574104,37.995972144672216,22305,SW 36TH ST,Burrton,67020,0401530500001002000
-97.68222330708909,37.99780554885236,3706,S WHEAT STATE RD,Burrton,67020,0401530500001003000
-97.68311527487742,37.99780473723969,3710,S WHEAT STATE RD,Burrton,67020,0401530500001004000
-97.66099802000629,37.977909147947564,5300,S BURMAC RD,Burrton,67020,0401520900000002000
-97.65192208377267,37.98147780085718,5105,S PRAIRIE LAKE RD,Burrton,67020,0401520900000001000
-97.65670742096925,37.9987517303924,21011,SW 36TH ST,Burrton,67020,0401520400000002000
-97.66442883744247,37.99571069945238,3826,S BURMAC RD,Burrton,67020,0401520400000006000
-97.66371305039178,37.99346228325209,4018,S BURMAC RD,Burrton,67020,0401520400000007000
-97.66316607744422,37.99150149649129,4216,S BURMAC RD,Burrton,67020,0401520400000008000
-97.66092761813917,37.988830768301355,4500,S BURMAC RD,Burrton,67020,0401520400000009000
-97.6589602627512,37.992386994723375,00000,SW 36TH ST,Burrton,67020,0401520400000003020
-97.66312847890715,37.99548098209735,3700,S BURMAC RD,Burrton,67020,0401520400000005000
-97.60847385277975,37.999000318796625,17729,SW 36TH ST,Halstead,67056,0401510100000003000
-97.59667200891003,37.99592634582492,00000,SW 36TH ST,Halstead,67056,0401510100000001010
-97.60009071840364,37.998973725892284,17303,SW 36TH ST,Halstead,67056,0401510100000001020
-97.6057592558314,37.99774790466303,00000,SW 36TH ST,Halstead,67056,0401510100000001000
-97.60573647994568,37.99060982599704,4500,S WILLOW LAKE RD,Halstead,67056,0401510100000004000
-97.61896787176669,37.985484275993244,18526,SW 48TH ST,Burrton,67020,0401510200000003000
-97.62408919819333,37.99593011695427,3900,S SAND HILL RD,Burrton,67020,0401510200000002000
-97.61302894727748,37.995832875774134,18125,SW 36TH ST,Burrton,67020,0401510200000001020
-97.61502579839865,37.99593992595999,00000,SW 36TH ST,Burrton,67020,0401510200000001000
-97.61953905520946,37.98880493066686,4505,S WILLOW LAKE RD,Burrton,67020,0401510200000004000
-97.62410342121923,37.97426462477717,18700,SW 60TH ST,Burrton,67020,0401511100000004000
-97.61725012450935,37.9814989346563,18317,SW 48TH ST,Burrton,67020,0401511100000002000
-97.6218459095453,37.981475309097036,00000,SW 48TH ST,Burrton,67020,0401511100000002010
-97.62638965427855,37.981451786921156,5100,S SAND HILL RD,Burrton,67020,0401511100000003000
-97.61099131219322,37.97995393669311,5211,S WILLOW LAKE RD,Burrton,67020,0401511100000005000
-97.59668411640344,37.974246572133296,5605,S RIVER PARK RD,Halstead,67056,0401511200000005000
-97.6057578050522,37.97430936052709,17500,SW 60TH ST,Halstead,67056,0401511200000004000
-97.59666770957307,37.97965228988775,5305,S RIVER PARK RD,Halstead,67056,0401511200000006000
-97.60658490684133,37.98150630345071,17605,SW 48TH ST,Halstead,67056,0401511200000003000
-97.60204979267218,37.98146936050362,17405,SW 48TH ST,Halstead,67056,0401511200000002000
-97.59591576937461,37.9832373807053,00000,SW 48TH ST,Halstead,67056,0401511200000001010
-97.60044682585362,37.983274384379534,17317,SW 48TH ST,Halstead,67056,0401511200000001000
-97.6333940224664,37.995929210203784,3705,S SAND HILL RD,Burrton,67020,0401520300000001000
-97.63796236486874,37.98878966075401,19922,SW 48TH ST,Burrton,67020,0401520300000006000
-97.68841961462775,37.98699387908421,22904,SW 48TH ST,Burrton,67020,0401530600000009000
-97.69520215239018,37.98694623605677,23400,SW 48TH ST,Burrton,67020,0401530600000008020
-97.69970791994649,37.986912987538005,23910,SW 48TH ST,Burrton,67020,0401530600000006000
-97.69523512145943,37.99144250558674,4200,S WOODBERRY RD,Burrton,67020,0401530600000008000
-97.69522138756619,37.98962795543615,4400,S WOODBERRY RD,Burrton,67020,0401530600000008010
-97.69974383593902,37.990509466141944,4300,S WOODBERRY RD,Burrton,67020,0401530600000005000
-97.69751458930637,37.99592428436243,23505,SW 36TH ST,Burrton,67020,0401530600000004000
-97.68616228037111,37.99591536903072,22035,SW 36TH ST,Burrton,67020,0401530600000001000
-97.6906927412671,37.99594626837023,23211,SW 36TH ST,Burrton,67020,0401530600000003000
-97.68843379992441,37.99056887711254,00000,S WHEAT STATE RD,Burrton,67020,0401530600000010000
-97.69352424900893,37.971037884561724,23402,SW 60TH ST,Burrton,67020,0401530700000003000
-97.69742455880109,37.9742386661089,5400,S WOODBERRY RD,Burrton,67020,0401530700000002010
-97.69741044626801,37.98141015041415,5300,S WOODBERRY RD,Burrton,67020,0401530700000002000
-97.68845665486185,37.977886645846894,00000,SW 48TH ST,Burrton,67020,0401530700000001000
-97.67021280074856,37.9815206830479,4905,S BURMAC RD,Burrton,67020,0401530800000001000
-97.6702917905098,37.97432281998612,00000,SW 60TH ST,Burrton,67020,0401530800000005000
-97.67584631286337,37.981514925273984,00000,SW 48TH ST,Burrton,67020,0401530800000002000
-97.68147758233408,37.98150903628974,5000,S WHEAT STATE RD,Burrton,67020,0401530800000003000
-97.68211287314881,37.97173854492271,22524,SW 60TH ST,Burrton,67020,0401530800000004010
-97.67923104043729,37.974316104160806,00000,SW 60TH ST,Burrton,67020,0401530800000004000
-97.69750188533163,37.95237802693619,7300,S WOODBERRY RD,Burrton,67020,0401541900000002000
-97.69744117089651,37.94520857126044,23600,SW 84TH ST,Burrton,67020,0401541900000003000
-97.68459752024906,37.94763536173072,7807,S WHEAT STATE RD,Burrton,67020,0401541900000004010
