LON,LAT,NUM,STR,CITY,ZIP,PID
-99.51289297596543,38.11327864971356,860,340TH AVE,Burdett,67523,073178270000000100001
-99.51059487256789,38.12056585761495,00000,CO RD,Burdett,67523,073175220000000301001
-99.38239576477193,38.124203132364954,00000,CO RD,Rozel,67574,073166230000000200001
-99.50152290913363,38.12237517210719,00000,330TH AVE,Burdett,67523,073175220000000400001
-99.54745145285554,38.120550659251236,00000,CO RD,Burdett,67523,073174200000000201001
-99.53833234134358,38.1205843702825,00000,CO RD,Burdett,67523,073174200000000400001
-99.52903706975522,38.12059616134228,00000,CO RD,Burdett,67523,073175210000000300001
-99.55672847696552,38.120421767786205,00000,360TH AVE,Burdett,67523,073174190000000400001
-99.5653610443008,38.120382754277216,00000,CO RD,Burdett,67523,073174190000000300001
-99.51996817811005,38.120622071845844,00000,CO RD,Burdett,67523,073175210000000400001
-99.41458154396001,38.12051899142428,00000,CO RD,Rozel,67574,073165210000000200001
-99.37331046854219,38.12057827340175,2638,I RD,Rozel,67574,073166230000000300001
-99.36411079207313,38.12058192772392,2572,I RD,Rozel,67574,073166240000000300001
-99.3985257069519,38.12043519896466,00000,I RD,Rozel,67574,073165220000000300001
-99.3894283274833,38.120421417818086,00000,CO RD,Rozel,67574,073165220000000400001
-99.5566122196964,38.11302615439113,00000,I RD,Burdett,67523,073179300000000100001
-99.54735922507109,38.11308017180057,00000,CO RD,Burdett,67523,073179290000000200001
-99.53828941983929,38.10952457956857,00000,CO RD,Burdett,67523,073179290000000100001
-99.50377452157107,38.11333120781846,00000,CO RD,Burdett,67523,073178270000000101001
-99.52897482683665,38.113141613120696,00000,CO RD,Burdett,67523,073178280000000200001
-99.51990949656243,38.11320987572974,00000,CO RD,Burdett,67523,073178280000000100001
-99.4921074550875,38.113373834010005,00000,CO RD,Burdett,67523,073177260000000200001
-99.48300730341795,38.113417390377165,00000,I RD,Burdett,67523,073177260000000100001
-99.47370077998148,38.11350973039612,00000,CO RD,Burdett,67523,073177250000000200001
-99.46451356539119,38.109982183634,00000,I RD,Burdett,67523,073177250000000100001
-99.45114214238708,38.11358662477634,00000,CO RD,Burdett,67523,073169300000000100001
-99.43759307349309,38.11352273464621,2965,I RD,Rozel,67574,073169290000000200001
-99.42837807266362,38.11346375649758,00000,CO RD,Burdett,67523,073169290000000100001
-99.41897413187533,38.11337105916385,00000,CO RD,Rozel,67574,073168280000000200001
-99.40992101779064,38.11323639091984,00000,CO RD,Rozel,67574,073168280000000100001
-99.4007608088036,38.11313426587788,00000,CO RD,Rozel,67574,073168270000000200001
-99.39171739607482,38.11308705410479,00000,CO RD,Rozel,67574,073168270000000100001
-99.38241956338959,38.11308979074963,870,270TH AVE,Rozel,67574,073167260000000200001
-99.37332243994084,38.11309303085589,00000,270TH AVE,Rozel,67574,073167260000000100001
-99.36408097609053,38.113146249580495,00000,CO RD,Garfield,67529,073167250000000200001
-99.50141346199267,38.1061230913447,00000,CO RD,Burdett,67523,073178270000000300001
-99.49208862145844,38.10616472610702,00000,CO RD,Burdett,67523,073177260000000300001
-99.47366461515561,38.10631563220006,00000,CO RD,Burdett,67523,073177250000000300001
-99.48296201350541,38.10625452683509,00000,CO RD,Burdett,67523,073177260000000101001
-99.45790203047707,38.10641141703514,00000,H RD,Burdett,67523,073169300000000200001
-99.45360460604056,38.10641770752645,00000,H RD,Burdett,67523,073169300000000300001
-99.44682894937318,38.106410204257664,00000,CO RD,Burdett,67523,073169300000000400001
-99.4375704301089,38.106334320864285,00000,H RD,Burdett,67523,073169290000000300001
-99.42834079527424,38.10793277294667,00000,CO RD,Burdett,67523,073169290000000500001
-99.41661069670215,38.106140832755315,00000,CO RD,Rozel,67574,073168280000000300001
-99.40753287894717,38.10690893637211,00000,280TH AVE,Rozel,67574,073168280000000400001
-99.40063460404018,38.10600567830678,00000,CO RD,Rozel,67574,073168270000000300001
-99.39167791466893,38.105961227292696,817,270TH AVE,Rozel,67574,073168270000000400001
-99.38241139141546,38.10592115598429,00000,H RD,Rozel,67574,073167260000000300001
-99.37333114461592,38.105927286174136,00000,CO RD,Rozel,67574,073167260000000400001
-99.36410476392842,38.10596032875867,00000,CO RD,Garfield,67529,073167250000000300001
-99.42831142171194,38.1043130822085,00000,CO RD,Burdett,67523,073169290000000400001
-99.4074994935088,38.103287923398256,2820,H RD,Rozel,67574,073168280000000401001
-99.56519903448677,38.09671602147924,00000,CO RD,Burdett,67523,073179310000000200001
-99.55646168451264,38.096734475655495,00000,CO RD,Burdett,67523,073179310000000100001
-99.54267932718182,38.09494547280867,00000,CO RD,Burdett,67523,073179320000000200001
-99.53813908228491,38.09842774971598,00000,H RD,Burdett,67523,073179320000000100001
-99.52438262203624,38.09851944312646,00000,H RD,Burdett,67523,073178330000000100001
-99.51048169292692,38.09870134600091,00000,CO RD,Burdett,67523,073178340000000200001
-99.50131682213272,38.10056848228811,00000,CO RD,Burdett,67523,073178340000000100001
-99.49202552469119,38.09521430927683,00000,H RD,Burdett,67523,073177350000000200001
-99.48289026641115,38.095266776699575,00000,320TH AVE,Burdett,67523,073177350000000100001
-99.47362333397507,38.09895156531914,00000,CO RD,Burdett,67523,073177360000000300001
-99.46454548163493,38.100840040176465,00000,CO RD,Burdett,67523,073177360000000100001
-99.45105633126873,38.09904247515966,00000,CO RD,Burdett,67523,073169310000000100001
-99.43284866039676,38.0988423017243,00000,CO RD,Burdett,67523,073169320000000100001
-99.41893833446044,38.09872896121358,00000,CO RD,Rozel,67574,073168330000000200001
-99.41198558212133,38.09869513240874,00000,CO RD,Rozel,67574,073168330000000201001
-99.41216634875849,38.09506823075504,2819,H RD,Rozel,67574,073168330000000100001
-99.40058156570916,38.09864542791728,00000,CO RD,Rozel,67574,073168340000000200001
-99.39163056806356,38.09861188903172,00000,CO RD,Rozel,67574,073168340000000100001
-99.38239657774727,38.09858661965708,2661,H RD,Rozel,67574,073167350000000101001
-99.37334157136144,38.09859700266089,00000,CO RD,Rozel,67574,073167350000000100001
-99.35955753463017,38.09864715070174,2535,H RD,Garfield,67529,073167360000000100001
-99.50578100083547,38.09330541085533,00000,340TH AVE,Burdett,67523,073178340000000300001
-99.46453579060966,38.097237870719326,00000,CO RD,Burdett,67523,073177360000000200001
-99.5445794787051,38.091519801661676,00000,CO RD,Burdett,67523,073179320000000300001
-99.5200355522055,38.091419230985906,00000,CO RD,Burdett,67523,073178330000000500001
-99.46452086285542,38.091857282143366,00000,CO RD,Burdett,67523,073177360000000500001
-99.47357790931524,38.09179047909521,00000,CO RD,Burdett,67523,073177360000000400001
-99.45555906925674,38.09187959496481,00000,CO RD,Burdett,67523,073169310000000200001
-99.52868764756758,38.09133251486117,00000,CO RD,Burdett,67523,073178330000000400001
-99.53030683840932,38.09378312786052,00000,CO RD,Burdett,67523,073178330000000200001
-99.44903191848715,38.09187447818468,00000,CO RD,Burdett,67523,073169310000000300001
-99.44450361893776,38.09185901437566,00000,CO RD,Burdett,67523,073169310000000400001
-99.43755079428426,38.09167705048665,00000,CO RD,Burdett,67523,073169320000000200001
-99.4284271718821,38.0916227679126,729,290TH AVE,Kinsley,67547,073169320000000300001
-99.42144016228963,38.091623885072494,00000,CO RD,Rozel,67574,073168330000000300001
-99.40064623093488,38.091595878355406,00000,CO RD,Rozel,67574,073168340000000301001
-99.3916193858349,38.09154603655965,00000,CO RD,Rozel,67574,073168340000000500001
-99.38241168112216,38.09151398250498,00000,CO RD,Rozel,67574,073167350000000201001
-99.53806957154653,38.092310764236785,00000,CO RD,Burdett,67523,073179320000000400001
-99.37332285092006,38.091482723916045,00000,CO RD,Rozel,67574,073167350000000200001
-99.3595601172866,38.09144568564959,00000,CO RD,Garfield,67529,073167360000000200001
-99.56068878658303,38.08939775147881,00000,CO RD,Burdett,67523,073179310000000300001
-99.5315107933416,38.08958803139856,00000,CO RD,Burdett,67523,073178330000000300001
-99.54731074973259,38.10590699496528,00000,CO RD,Burdett,67523,073179290000000300001
-99.5289315657692,38.10597285219231,00000,CO RD,Burdett,67523,073178280000000300001
-99.51985525942968,38.10601762480614,00000,H RD,Burdett,67523,073178280000000400001
-99.51052092010963,38.10607834048056,00000,CO RD,Burdett,67523,073178270000000200001
-99.56528593975312,38.112990865535,00000,CO RD,Burdett,67523,073179300000000200001
-99.56073327295249,38.10588122909739,00000,H RD,Burdett,67523,073179300000000201001
-99.39852267334118,38.088530530240675,2764,G RD,Rozel,67574,073168340000000300001
-99.4048583827931,38.08831704991465,702,280TH AVE,Rozel,67574,073168340000000400001
-99.4061491293549,38.195108699783376,104,PAWNEE ST,Rozel,67574,073078280000001300001
-99.40150260028513,38.237031627234856,00000,CO RD,Rozel,67574,073072100000000201001
-99.52627426202218,38.196603553444746,00000,WISCONSIN AVE,Burdett,67523,073068280300200501001
-99.53520549223997,38.23222332798545,1649,350TH AVE,Burdett,67523,073064170000000100001
-99.43769466531606,38.164681913326966,00000,CO RD,Rozel,67574,073163050000000201001
-99.52543836213317,38.190087630623594,100,LOCUST ST,Burdett,67523,073068280302100301001
-99.52612930986793,38.196177658707185,609,LOCUST ST,Burdett,67523,073068280300600100001
-99.52936162612666,38.2078332208703,00000,CO RD,Burdett,67523,073065210000000300001
-99.49929759936771,38.134731292938106,1023,330TH AVE,Burdett,67523,073175150000000102001
-99.49808557127596,38.12114836924654,927,330TH AVE,Burdett,67523,073175220000000401001
-99.44506423639615,38.18379987426904,1359,300TH AVE,Rozel,67574,073079310000000102001
-99.5106391491808,38.127789845334064,00000,CO RD,Burdett,67523,073175220000000300001
-99.49261687935453,38.22237585279389,00000,CO RD,Burdett,67523,073066140000000301001
-99.39242963253436,38.23705388481308,00000,270TH AVE,Rozel,67574,073072100000000300001
-99.52729622771022,38.19260604453528,00000,ELM ST,Burdett,67523,073068280302200103101
-99.52949313095021,38.192896056751884,400,MAPLE ST,Burdett,67523,073068280300400203001
-99.42374123551747,38.202208700934435,1482,290TH AVE,Rozel,67574,073078280000000300001
-99.40337210668082,38.19699459767007,308,CLINE ST,Rozel,67574,073078270300600100A01
-99.5020614940622,38.20787349857759,00000,CO RD,Burdett,67523,073065220000000101001
-99.50102830661967,38.20900517309014,00000,CO RD,Burdett,67523,073065220000000102001
-99.52946048437617,38.19413669941626,00000,MAPLE ST,Burdett,67523,073068280300400204001
-99.53037846782428,38.194193104348116,00000,MAPLE ST,Burdett,67523,073068280300400206001
