LON,LAT,NUM,STR,CITY,ZIP,PID
-100.61153144517179,38.26402965724946,00000,W LANE-FINNEY RD,Garden City,67846,051208340000000300001
-100.57458463488145,38.26456917582011,00000,S FRONTIER RD,Dighton,67839,051207360000000400001
-100.57004821456187,38.267355758087064,00000,S FRONTIER RD,Dighton,67839,051199310000000300001
-100.58840077695181,38.26739256089259,00000,W LANE-FINNEY RD,Dighton,67839,051207360000000300001
-100.59758724549127,38.26747890680882,00000,W LANE-FINNEY RD,Dighton,67839,051207350000000400001
-100.60666032822641,38.267505796015286,00000,S DODGE RD,Dighton,67839,051207350000000300001
-100.63408958412973,38.26764336557099,00000,W LANE-FINNEY RD,Garden City,67846,051208330000000400001
-100.64318435578912,38.26766871368255,00000,S BISON RD,Garden City,67846,051208330000000300001
-100.65240030119713,38.26767022218222,00000,W LANE-FINNEY RD,Garden City,67846,051209320000000400001
-100.67541053401212,38.26784655623152,00000,W LANE-FINNEY RD,Garden City,67846,051209310000000200001
-100.54273623551549,38.2709777352068,00000,S HICKOCK RD,Dighton,67839,051199320000000100001
-100.55188238092764,38.27097661081284,00000,S GAGE RD,Dighton,67839,051199320000000200001
-100.56092564902762,38.27098121039917,00000,S GAGE RD,Dighton,67839,051199310000000100001
-100.57011090214651,38.27464616779338,00000,S FRONTIER RD,Dighton,67839,051199310000000200001
-100.5793352216496,38.274682685208774,00000,S FRONTIER RD,Dighton,67839,051207360000000100001
-100.58846784067936,38.27470181102518,00000,W ROAD 10,Dighton,67839,051207360000000200001
-100.59765360269384,38.27473351104607,00000,W ROAD 10,Dighton,67839,051207350000000100001
-100.60672487397619,38.27476284931285,00000,S DODGE RD,Dighton,67839,051207350000000200001
-100.61606707490245,38.27480757783899,00000,S DODGE RD,Garden City,67846,051208340000000100001
-100.62517804498297,38.27484692505387,00000,W ROAD 10,Garden City,67846,051208340000000200001
-100.63431686059157,38.27485360242359,00000,W ROAD 10,Garden City,67846,051208330000000100001
-100.64338354552524,38.2748429282997,00000,S BISON RD,Garden City,67846,051208330000000200001
-100.65262276044325,38.274809826059,00000,S BISON RD,Garden City,67846,051209320000000100001
-100.65957362317616,38.274862394701195,00000,S ABILENE RD,Garden City,67846,051209320000000200001
-100.66175289203795,38.27122749432623,00000,W LANE-FINNEY RD,Garden City,67846,051209320000000300001
-100.67550742764612,38.27498141655326,00000,W ROAD 10,Garden City,67846,051209310000000100001
-100.54739605201577,38.28189984771299,00000,W ROAD 10,Dighton,67839,051199290000000300001
-100.58402532574802,38.281915707388634,00000,S FRONTIER RD,Dighton,67839,051207250000000400001
-100.6435625222692,38.28211816639291,00000,S BISON RD,Garden City,67846,051208280000000300001
-100.65288551766385,38.282161091462456,00000,W ROAD 10,Garden City,67846,051209290000000201001
-100.66193862501115,38.28215157814779,108,W ROAD 10,Garden City,67846,051209290000000200001
-100.58627782347516,38.28744147552294,00000,W ROAD 20,Dighton,67839,051207250000000300001
-100.62900565367008,38.285598633647425,16,S CHEYENNE RD,Garden City,67846,051208270000000301001
-100.54288332745674,38.28909446127331,00000,W ROAD 20,Dighton,67839,051199290000000100001
-100.5519247764683,38.28911169089102,00000,W ROAD 20,Dighton,67839,051199290000000200001
-100.5655973758411,38.285477554051255,00000,W ROAD 20,Dighton,67839,051199300000000100001
-100.57024405717527,38.28908540869379,00000,W ROAD 20,Dighton,67839,051199300000000200001
-100.57948460159989,38.28914153945175,00000,S FRONTIER RD,Dighton,67839,051207250000000100001
-100.58859618433146,38.2891831682921,00000,W ROAD 20,Dighton,67839,051207250000000200001
-100.5978084331721,38.28920752706425,00000,W ROAD 20,Dighton,67839,051207260000000100001
-100.60237396429677,38.285605868211796,14,S DODGE RD,Dighton,67839,051207260000000200001
-100.61849717719696,38.28565823813849,00000,S DODGE RD,Garden City,67846,051208270000000100001
-100.6345655789409,38.285715695865946,00000,S CHEYENNE RD,Garden City,67846,051208280000000100001
-100.64373989956277,38.289292568824855,00000,W ROAD 20,Garden City,67846,051208280000000200001
-100.65755425308743,38.289445484930866,00000,S BISON RD,Garden City,67846,051209290000000100001
-100.67560460155453,38.28588143379565,00000,W ROAD 20,Garden City,67846,051209300000000100001
-100.55894267373348,38.29465016927168,00000,W ROAD 20,Dighton,67839,051194190000000800001
-100.56350517978143,38.294652877751105,00000,W ROAD 20,Dighton,67839,051194190000000700001
-100.57026220898305,38.29466224568602,00000,W ROAD 20,Dighton,67839,051194190000000400001
-100.63468517884124,38.29482781437552,00000,W ROAD 20,Garden City,67846,051205210000000500001
-100.64382504008879,38.29480023258874,00000,S BISON RD,Garden City,67846,051205210000000400001
-100.542943347045,38.296430928216274,00000,W ROAD 20,Dighton,67839,051194200000000400001
-100.62532580841493,38.285699929323954,00000,S CHEYENNE RD,Garden City,67846,051208270000000300001
-100.55207407646853,38.29646275900839,00000,W ROAD 20,Dighton,67839,051194200000000300001
-100.55899253651998,38.29824652562573,00000,S GAGE RD,Dighton,67839,051194190000000900001
-100.56355520291719,38.29824461086128,00000,W ROAD 20,Dighton,67839,051194190000000600001
-100.56816665097845,38.29824361719747,00000,W ROAD 20,Dighton,67839,051194190000000500001
-100.57265920072368,38.29824545211726,00000,S FRONTIER RD,Dighton,67839,051194190000000300001
-100.58867660196489,38.29652968163401,00000,W ROAD 20,Dighton,67839,051206240000000200001
-100.59785276682801,38.296578643418286,00000,W ROAD 20,Dighton,67839,051206230000000400001
